sales_person,country,product,date,amount,boxes_shipped
Oby Sorrel,India,85% Dark Bars,2022-05-07,8981.00,130
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-12-04,7.00,518
Gigi Bohling,Australia,70% Dark Bites,,1372.00,105
Jan Morforth,UK,50% Dark Bites,2022-12-01,5250.00,293
Gunar Cockshoot,Canada,White Choc,2022-11-08,7560.00,15
Jehu Rudeforth,Australia,Spicy Special Slims,,5012.00,384
Husein Augar,UK,Baker's Choco Chips,,3038.00,135
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.00,92
Madelene Upcott,New Zealand,Mint Chip Choco,2022-11-03,7413.00,4
Madelene Upcott,UK,70% Dark Bites,,5397.00,239
Barr Faughny,Australia,Organic Choco Syrup,2022-07-01,2303.00,33
Beverie Moffet,New Zealand,Drinking Coco,2022-12-01,1141.00,518
Beverie Moffet,India,Eclairs,2022-09-06,10325.00,147
Andria Kimpton,India,Eclairs,,2149.00,84
Gigi Bohling,UK,85% Dark Bars,,12362.00,94
Roddy Speechley,UK,Raspberry Choco,,12635.00,194
Dotty Strutley,UK,Mint Chip Choco,,2443.00,216
Barr Faughny,Canada,Drinking Coco,,6237.00,247
Oby Sorrel,USA,Milk Bars,,1736.00,79
Oby Sorrel,UK,Orange Choco,,7315.00,237
Curtice Advani,Canada,Peanut Butter Cubes,,4935.00,63
Gigi Bohling,India,White Choc,,1393.00,172
Husein Augar,Canada,Choco Coated Almonds,,3381.00,408
Wilone O'Kielt,India,Choco Coated Almonds,,2933.00,233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,,3836.00,59
Kaine Padly,UK,Choco Coated Almonds,2022-03-08,8022.00,123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-04-01,371.00,229
Kelci Walkden,Canada,After Nines,,16702.00,198
Van Tuxwell,Australia,Baker's Choco Chips,2022-11-05,13258.00,32
Husein Augar,New Zealand,Peanut Butter Cubes,,2058.00,236
Kaine Padly,UK,Caramel Stuffed Bars,,10192.00,67
Jehu Rudeforth,UK,Drinking Coco,2022-03-02,7140.00,438
Beverie Moffet,India,Manuka Honey Choco,2022-06-05,9835.00,167
Gunar Cockshoot,UK,Choco Coated Almonds,,5775.00,135
Gunar Cockshoot,UK,Smooth Sliky Salty,,749.00,148
Camilla Castle,Canada,Orange Choco,,7770.00,54
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502.00,64
Oby Sorrel,UK,70% Dark Bites,,6223.00,181
Kelci Walkden,UK,99% Dark & Pure,2022-12-08,3507.00,114
Gigi Bohling,New Zealand,After Nines,,5600.00,181
Oby Sorrel,Australia,50% Dark Bites,2022-06-05,721.00,151
Oby Sorrel,Canada,50% Dark Bites,,6615.00,137
Barr Faughny,USA,White Choc,2022-05-05,7420.00,163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,,3164.00,84
Curtice Advani,Australia,Caramel Stuffed Bars,,9114.00,140
Curtice Advani,New Zealand,85% Dark Bars,2022-12-05,5404.00,187
Barr Faughny,New Zealand,Smooth Sliky Salty,,3990.00,169
Ches Bonnell,UK,85% Dark Bars,,14924.00,12
Dennison Crosswaite,Australia,Drinking Coco,,7091.00,194
Roddy Speechley,USA,Milk Bars,,2807.00,252
Jan Morforth,India,After Nines,,6496.00,168
Gunar Cockshoot,USA,After Nines,,3738.00,261
Ches Bonnell,India,Orange Choco,,1190.00,256
Mallorie Waber,UK,Manuka Honey Choco,,8379.00,43
Barr Faughny,Australia,Raspberry Choco,,9268.00,100
Wilone O'Kielt,USA,Drinking Coco,,1029.00,98
Wilone O'Kielt,India,Eclairs,,3549.00,76
Wilone O'Kielt,India,After Nines,2022-04-08,12026.00,262
Kelci Walkden,India,99% Dark & Pure,,2303.00,244
Gunar Cockshoot,Canada,Spicy Special Slims,2022-05-04,13405.00,12
Madelene Upcott,Canada,Peanut Butter Cubes,2022-05-07,14763.00,113
Kaine Padly,New Zealand,Eclairs,,12894.00,48
Ches Bonnell,New Zealand,Drinking Coco,,8302.00,131
Curtice Advani,UK,Drinking Coco,2022-12-07,455.00,174
Kelci Walkden,India,Raspberry Choco,,8183.00,254
Dotty Strutley,Australia,Choco Coated Almonds,,1645.00,284
Kaine Padly,UK,50% Dark Bites,,3143.00,67
Roddy Speechley,Canada,Choco Coated Almonds,2022-11-05,5873.00,249
Ches Bonnell,India,50% Dark Bites,,11298.00,313
Oby Sorrel,Canada,Peanut Butter Cubes,2022-07-06,12425.00,167
Oby Sorrel,UK,White Choc,,1715.00,286
Barr Faughny,India,After Nines,,8190.00,109
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-02-06,4991.00,166
Rafaelita Blaksland,India,Mint Chip Choco,,15491.00,85
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-02-03,5096.00,142
Van Tuxwell,Australia,70% Dark Bites,2022-10-01,7063.00,104
Beverie Moffet,USA,70% Dark Bites,,2275.00,115
Barr Faughny,Canada,Orange Choco,,7602.00,18
Roddy Speechley,Australia,85% Dark Bars,2022-08-07,4200.00,80
Oby Sorrel,India,Spicy Special Slims,2022-08-06,11137.00,88
Jan Morforth,UK,Manuka Honey Choco,,3388.00,212
Kaine Padly,Australia,After Nines,2022-08-04,6832.00,306
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.00,181
Wilone O'Kielt,UK,Milk Bars,,301.00,65
Oby Sorrel,Canada,Fruit & Nut Bars,,1869.00,158
Dennison Crosswaite,USA,Baker's Choco Chips,2022-11-08,17465.00,271
Madelene Upcott,USA,Almond Choco,,10143.00,24
Van Tuxwell,New Zealand,50% Dark Bites,2022-11-07,3626.00,10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-02-03,3346.00,304
Madelene Upcott,Australia,Raspberry Choco,,6321.00,88
Rafaelita Blaksland,UK,Spicy Special Slims,2022-03-08,9345.00,133
Curtice Advani,UK,Peanut Butter Cubes,2022-01-03,15008.00,165
Kelci Walkden,New Zealand,White Choc,,7609.00,150
Beverie Moffet,Canada,Fruit & Nut Bars,,10332.00,180
Mallorie Waber,India,White Choc,,819.00,213
Brien Boise,UK,Drinking Coco,,5754.00,133
Jehu Rudeforth,India,Peanut Butter Cubes,,28.00,446
Oby Sorrel,USA,Almond Choco,,6440.00,141
Husein Augar,India,Eclairs,2022-09-02,4956.00,58
Brien Boise,UK,Spicy Special Slims,,2352.00,58
Oby Sorrel,Australia,Manuka Honey Choco,,3906.00,76
Beverie Moffet,India,White Choc,2022-04-07,1813.00,296
Ches Bonnell,India,Almond Choco,,11788.00,73
Gigi Bohling,Australia,Smooth Sliky Salty,,5768.00,119
Camilla Castle,USA,85% Dark Bars,,2401.00,78
Camilla Castle,USA,Eclairs,2022-10-06,4515.00,392
Madelene Upcott,New Zealand,White Choc,,10794.00,51
Van Tuxwell,India,After Nines,,13706.00,207
Husein Augar,India,Orange Choco,,4361.00,40
Jehu Rudeforth,India,Almond Choco,,10122.00,100
Karlen McCaffrey,Australia,Raspberry Choco,,994.00,57
Camilla Castle,New Zealand,99% Dark & Pure,,2268.00,42
Gigi Bohling,Australia,Orange Choco,2022-09-03,574.00,156
Kelci Walkden,UK,Drinking Coco,,1792.00,23
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-10-06,4844.00,539
Husein Augar,Australia,Organic Choco Syrup,2022-08-02,938.00,158
Brien Boise,Australia,White Choc,,4879.00,22
Dotty Strutley,India,Peanut Butter Cubes,,9107.00,73
Dennison Crosswaite,UK,99% Dark & Pure,,12187.00,27
Gigi Bohling,New Zealand,50% Dark Bites,,5670.00,64
Gigi Bohling,USA,Milk Bars,,476.00,133
Brien Boise,UK,Caramel Stuffed Bars,2022-04-03,2681.00,149
Curtice Advani,New Zealand,Peanut Butter Cubes,,1533.00,434
Curtice Advani,New Zealand,50% Dark Bites,,9765.00,85
Beverie Moffet,Canada,Drinking Coco,2022-05-07,994.00,118
Barr Faughny,USA,Caramel Stuffed Bars,,3318.00,299
Mallorie Waber,Canada,Almond Choco,2022-12-05,4214.00,35
Oby Sorrel,USA,Drinking Coco,2022-11-03,7714.00,44
Brien Boise,New Zealand,Eclairs,2022-11-07,4690.00,299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-01-08,13062.00,62
Gunar Cockshoot,UK,Spicy Special Slims,,12488.00,200
Curtice Advani,USA,After Nines,,14147.00,235
Oby Sorrel,India,Choco Coated Almonds,,49.00,363
Ches Bonnell,Australia,Peanut Butter Cubes,,10199.00,68
Oby Sorrel,Australia,Spicy Special Slims,,11389.00,26
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-05-04,3584.00,200
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.00,264
Kaine Padly,USA,Spicy Special Slims,,2107.00,175
Marney O'Breen,New Zealand,70% Dark Bites,,8603.00,352
Roddy Speechley,New Zealand,99% Dark & Pure,,7483.00,183
Oby Sorrel,New Zealand,85% Dark Bars,2022-01-02,3381.00,417
Dotty Strutley,New Zealand,Orange Choco,2022-04-08,2030.00,146
Andria Kimpton,New Zealand,Almond Choco,2022-05-04,6559.00,158
Karlen McCaffrey,Australia,99% Dark & Pure,,10822.00,168
Kaine Padly,UK,After Nines,,18697.00,176
Kaine Padly,Canada,After Nines,,5845.00,172
Kaine Padly,UK,Drinking Coco,,2317.00,224
Rafaelita Blaksland,UK,50% Dark Bites,,10150.00,68
Dotty Strutley,USA,Raspberry Choco,2022-03-01,3437.00,46
Karlen McCaffrey,USA,White Choc,,4592.00,2
Oby Sorrel,USA,Spicy Special Slims,2022-07-02,5691.00,417
Mallorie Waber,Australia,Smooth Sliky Salty,2022-11-02,4158.00,109
Kaine Padly,Canada,Organic Choco Syrup,,5684.00,81
Marney O'Breen,USA,Peanut Butter Cubes,,693.00,350
Dennison Crosswaite,UK,Smooth Sliky Salty,,546.00,142
Brien Boise,Australia,Organic Choco Syrup,,4263.00,264
Beverie Moffet,India,Organic Choco Syrup,,1036.00,20
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-11-01,13846.00,421
Beverie Moffet,UK,50% Dark Bites,2022-09-02,2499.00,271
Van Tuxwell,UK,Almond Choco,2022-06-06,10689.00,204
Dotty Strutley,UK,Caramel Stuffed Bars,2022-10-08,5768.00,235
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-04-01,2226.00,46
Andria Kimpton,Canada,70% Dark Bites,2022-08-04,10262.00,15
Barr Faughny,UK,Milk Bars,2022-02-03,3864.00,430
Van Tuxwell,Canada,Drinking Coco,,4900.00,709
Jehu Rudeforth,Australia,After Nines,,5250.00,47
Husein Augar,UK,After Nines,2022-05-07,3507.00,380
Barr Faughny,India,Mint Chip Choco,2022-12-01,7413.00,465
Curtice Advani,India,Mint Chip Choco,2022-03-03,8155.00,96
Jehu Rudeforth,New Zealand,Milk Bars,,2478.00,188
Gunar Cockshoot,India,Caramel Stuffed Bars,,2471.00,202
Curtice Advani,UK,Manuka Honey Choco,2022-07-02,1666.00,106
Andria Kimpton,India,Orange Choco,,301.00,421
Mallorie Waber,Australia,Raspberry Choco,,8400.00,27
Beverie Moffet,Canada,85% Dark Bars,,6139.00,45
Kelci Walkden,Australia,Drinking Coco,2022-04-05,1288.00,60
Van Tuxwell,Canada,70% Dark Bites,2022-02-06,7077.00,77
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-11-07,2317.00,464
Beverie Moffet,New Zealand,Spicy Special Slims,2022-07-06,63.00,60
Jan Morforth,UK,Almond Choco,2022-06-07,9744.00,157
Husein Augar,India,Raspberry Choco,,9954.00,154
Dotty Strutley,India,Mint Chip Choco,,1260.00,239
Camilla Castle,India,Drinking Coco,2022-08-08,469.00,163
Marney O'Breen,UK,Drinking Coco,,973.00,28
Roddy Speechley,Australia,Organic Choco Syrup,2022-04-07,3647.00,76
Ches Bonnell,India,99% Dark & Pure,,455.00,96
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-02-05,2520.00,156
Van Tuxwell,India,Eclairs,,10500.00,106
Gunar Cockshoot,Australia,99% Dark & Pure,,7952.00,235
Kaine Padly,USA,85% Dark Bars,,483.00,259
Camilla Castle,UK,Peanut Butter Cubes,,4872.00,126
Madelene Upcott,UK,Peanut Butter Cubes,2022-12-08,7756.00,85
Madelene Upcott,USA,Choco Coated Almonds,2022-07-06,5446.00,132
Marney O'Breen,Canada,Peanut Butter Cubes,2022-08-03,6594.00,91
Ches Bonnell,Australia,Choco Coated Almonds,2022-08-04,1470.00,167
Curtice Advani,Canada,Eclairs,2022-06-05,721.00,203
Roddy Speechley,India,Drinking Coco,,4494.00,11
Van Tuxwell,Australia,Mint Chip Choco,,2674.00,295
Dennison Crosswaite,USA,70% Dark Bites,,658.00,77
Andria Kimpton,Canada,Peanut Butter Cubes,,1127.00,319
Gigi Bohling,USA,70% Dark Bites,,7364.00,196
Rafaelita Blaksland,Australia,White Choc,,6818.00,102
Roddy Speechley,Canada,Drinking Coco,,6776.00,312
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,15099.00,55
Madelene Upcott,Canada,Milk Bars,,3612.00,82
Madelene Upcott,Australia,70% Dark Bites,,3710.00,260
Oby Sorrel,Canada,Eclairs,,6111.00,591
Dennison Crosswaite,Canada,Drinking Coco,2022-10-01,2702.00,24
Mallorie Waber,New Zealand,After Nines,2022-04-05,483.00,228
Roddy Speechley,Canada,White Choc,2022-05-04,5887.00,268
Andria Kimpton,India,After Nines,,952.00,68
Roddy Speechley,India,Spicy Special Slims,,10647.00,173
Dotty Strutley,Australia,White Choc,2022-05-07,6055.00,93
Oby Sorrel,Canada,Orange Choco,,8757.00,338
Kaine Padly,Canada,Almond Choco,2022-12-08,6055.00,73
Jan Morforth,UK,Baker's Choco Chips,2022-11-03,721.00,251
Jehu Rudeforth,UK,Fruit & Nut Bars,,8589.00,229
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-12-05,11781.00,91
Brien Boise,USA,Raspberry Choco,2022-12-01,672.00,194
Madelene Upcott,New Zealand,Milk Bars,,12558.00,403
Roddy Speechley,India,50% Dark Bites,,8337.00,12
Barr Faughny,New Zealand,99% Dark & Pure,,8134.00,195
Dennison Crosswaite,Canada,Organic Choco Syrup,,8491.00,75
Beverie Moffet,India,Almond Choco,,3066.00,96
Brien Boise,Australia,Peanut Butter Cubes,,301.00,205
Karlen McCaffrey,Australia,Spicy Special Slims,,4410.00,323
Jehu Rudeforth,USA,White Choc,2022-07-06,6559.00,119
Ches Bonnell,Canada,Organic Choco Syrup,,574.00,217
Dotty Strutley,India,Eclairs,,2086.00,384
Karlen McCaffrey,India,70% Dark Bites,,5075.00,344
Jehu Rudeforth,UK,Mint Chip Choco,2023-04-01,5902.13,178
Van Tuxwell,India,85% Dark Bars,2023-01-08,8074.39,100
Gigi Bohling,India,Peanut Butter Cubes,2023-07-07,4666.18,100
Jan Morforth,Australia,Peanut Butter Cubes,,14103.40,350
Jehu Rudeforth,UK,Peanut Butter Cubes,,14167.84,178
Van Tuxwell,India,Smooth Sliky Salty,2023-06-06,5768.75,37
Oby Sorrel,UK,99% Dark & Pure,,14673.20,175
Gunar Cockshoot,Australia,After Nines,,3249.23,78
Jehu Rudeforth,New Zealand,50% Dark Bites,,4526.24,64
Brien Boise,Australia,99% Dark & Pure,2023-04-07,3166.56,98
Rafaelita Blaksland,UK,Smooth Sliky Salty,,4866.39,65
Barr Faughny,USA,Orange Choco,2023-10-03,4254.37,12
Mallorie Waber,Canada,Eclairs,,1652.61,277
Karlen McCaffrey,New Zealand,Drinking Coco,,171.49,163
Marney O'Breen,New Zealand,Peanut Butter Cubes,2023-03-08,8549.84,169
Beverie Moffet,Australia,Organic Choco Syrup,,7807.74,355
Van Tuxwell,Canada,Organic Choco Syrup,,4561.43,44
Roddy Speechley,USA,Smooth Sliky Salty,2023-05-04,3041.12,148
Beverie Moffet,Canada,Milk Bars,,9786.09,248
Curtice Advani,UK,85% Dark Bars,2023-08-06,1131.25,175
Brien Boise,Australia,Eclairs,,7484.07,94
Gunar Cockshoot,USA,Spicy Special Slims,,1339.61,166
Marney O'Breen,USA,After Nines,,5481.18,159
Husein Augar,UK,Drinking Coco,,3275.40,120
Kaine Padly,Australia,Eclairs,,7677.78,118
Karlen McCaffrey,India,Fruit & Nut Bars,,189.37,315
Roddy Speechley,Canada,Spicy Special Slims,2023-09-02,1658.79,193
Husein Augar,USA,Eclairs,2023-07-07,4168.93,122
Dennison Crosswaite,New Zealand,White Choc,2023-05-07,10604.89,165
Dennison Crosswaite,New Zealand,Manuka Honey Choco,,5773.51,325
Van Tuxwell,New Zealand,85% Dark Bars,,1838.78,121
Rafaelita Blaksland,UK,99% Dark & Pure,,12643.10,150
Wilone O'Kielt,Australia,Manuka Honey Choco,2023-11-05,4439.52,95
Karlen McCaffrey,UK,Almond Choco,,7698.60,126
Andria Kimpton,Canada,After Nines,2023-11-05,2222.30,77
Roddy Speechley,USA,Manuka Honey Choco,,10959.02,302
Andria Kimpton,UK,50% Dark Bites,,2854.85,337
Kelci Walkden,New Zealand,After Nines,2023-07-07,147.82,74
Camilla Castle,Australia,85% Dark Bars,,3790.51,14
Karlen McCaffrey,India,Manuka Honey Choco,2023-04-07,2487.19,583
Kelci Walkden,USA,After Nines,2023-02-06,1021.27,17
Karlen McCaffrey,USA,Raspberry Choco,,15370.06,353
Mallorie Waber,Canada,Choco Coated Almonds,2023-11-07,5345.58,250
Andria Kimpton,India,Spicy Special Slims,,6559.44,154
Madelene Upcott,Canada,Almond Choco,,8282.93,107
Kaine Padly,USA,Peanut Butter Cubes,,6981.40,189
Van Tuxwell,USA,50% Dark Bites,,10280.17,155
Curtice Advani,Australia,Milk Bars,,7703.62,20
Roddy Speechley,India,Eclairs,2023-10-06,4489.81,310
Curtice Advani,India,Fruit & Nut Bars,2023-07-07,5806.11,190
Curtice Advani,Canada,Almond Choco,,5148.70,76
Brien Boise,Australia,Fruit & Nut Bars,2023-06-06,8558.59,24
Dotty Strutley,Australia,Drinking Coco,,94.19,145
Beverie Moffet,USA,Raspberry Choco,,16223.83,87
Marney O'Breen,India,85% Dark Bars,,2439.06,175
Jehu Rudeforth,Canada,Drinking Coco,,466.65,23
Ches Bonnell,New Zealand,Spicy Special Slims,,4044.24,18
Brien Boise,Canada,99% Dark & Pure,,17675.28,446
Barr Faughny,Australia,Fruit & Nut Bars,,17280.98,58
Andria Kimpton,Australia,50% Dark Bites,2023-02-06,5091.78,219
Andria Kimpton,Australia,Drinking Coco,,1657.20,49
Marney O'Breen,Australia,Organic Choco Syrup,,305.79,189
Kelci Walkden,Canada,Baker's Choco Chips,,3377.41,325
Karlen McCaffrey,India,Almond Choco,2023-06-07,6188.62,157
Oby Sorrel,India,99% Dark & Pure,,10914.36,11
Wilone O'Kielt,Australia,Caramel Stuffed Bars,,2342.07,12
Van Tuxwell,Australia,Organic Choco Syrup,2023-10-08,21762.80,15
Camilla Castle,India,50% Dark Bites,2023-04-07,10539.54,398
Oby Sorrel,India,Organic Choco Syrup,2023-08-07,6665.87,60
Jan Morforth,USA,Peanut Butter Cubes,,9605.11,98
Gigi Bohling,USA,Choco Coated Almonds,2023-02-03,13018.00,103
Gigi Bohling,UK,Almond Choco,2023-10-01,6046.40,10
Jehu Rudeforth,New Zealand,White Choc,2023-11-03,3078.33,231
Andria Kimpton,New Zealand,Peanut Butter Cubes,,970.96,291
Van Tuxwell,UK,Organic Choco Syrup,,2064.71,208
Roddy Speechley,Canada,Milk Bars,,679.94,34
Camilla Castle,USA,Spicy Special Slims,2023-11-02,1311.25,251
Marney O'Breen,USA,Orange Choco,,8692.64,184
Van Tuxwell,UK,99% Dark & Pure,,4993.21,145
Camilla Castle,USA,White Choc,,10898.19,24
Andria Kimpton,USA,Raspberry Choco,,15565.91,21
Dotty Strutley,Australia,Fruit & Nut Bars,,280.59,328
Brien Boise,New Zealand,Mint Chip Choco,2023-01-08,66.35,197
Roddy Speechley,New Zealand,After Nines,,8766.45,10
Roddy Speechley,Canada,Organic Choco Syrup,2023-10-01,4265.48,85
Dennison Crosswaite,Australia,70% Dark Bites,2023-07-02,6087.53,113
Karlen McCaffrey,USA,Orange Choco,2023-12-05,11694.48,425
Madelene Upcott,Australia,Spicy Special Slims,2023-07-03,7616.38,392
Dennison Crosswaite,Australia,85% Dark Bars,2023-05-04,7807.02,419
Andria Kimpton,Canada,Caramel Stuffed Bars,2023-03-01,7990.91,343
Dennison Crosswaite,UK,Eclairs,,6757.17,276
Madelene Upcott,India,Raspberry Choco,2023-07-07,4409.21,10
Van Tuxwell,USA,After Nines,,722.25,255
Wilone O'Kielt,Australia,Organic Choco Syrup,2023-07-07,1896.24,115
Karlen McCaffrey,Canada,50% Dark Bites,,2966.83,65
Roddy Speechley,New Zealand,Orange Choco,2023-01-04,51.29,100
Beverie Moffet,Australia,Eclairs,,1835.42,6
Kelci Walkden,UK,Fruit & Nut Bars,,14592.11,509
Marney O'Breen,USA,50% Dark Bites,,1114.13,106
Husein Augar,USA,After Nines,2023-08-04,13051.75,193
Dennison Crosswaite,Australia,Raspberry Choco,,5997.71,31
Andria Kimpton,USA,Fruit & Nut Bars,,1588.28,352
Kelci Walkden,India,Eclairs,,5344.21,80
Marney O'Breen,USA,99% Dark & Pure,,4646.91,317
Brien Boise,Canada,Spicy Special Slims,2023-04-03,8929.88,100
Karlen McCaffrey,New Zealand,70% Dark Bites,2023-02-08,141.23,38
Husein Augar,UK,Spicy Special Slims,,5068.99,45
Marney O'Breen,USA,Almond Choco,,8012.72,163
Kelci Walkden,India,Orange Choco,2023-07-06,10587.71,134
Jan Morforth,India,Spicy Special Slims,2023-12-04,2155.62,495
Ches Bonnell,India,Spicy Special Slims,2023-06-07,11010.43,103
Kelci Walkden,UK,Smooth Sliky Salty,,6787.72,192
Madelene Upcott,Australia,Fruit & Nut Bars,2023-05-01,5715.07,90
Madelene Upcott,Canada,70% Dark Bites,,12100.65,142
Wilone O'Kielt,Australia,Drinking Coco,2023-06-04,623.75,285
Gunar Cockshoot,Australia,Fruit & Nut Bars,,6528.42,22
Gigi Bohling,Canada,Baker's Choco Chips,,1540.55,47
Kelci Walkden,India,Caramel Stuffed Bars,,487.06,123
Rafaelita Blaksland,Australia,Drinking Coco,,11630.38,431
Kelci Walkden,USA,Manuka Honey Choco,,17297.66,96
Jehu Rudeforth,Canada,Spicy Special Slims,,2043.55,28
Kelci Walkden,Australia,Eclairs,,8168.86,570
Curtice Advani,Canada,Spicy Special Slims,,933.45,122
Oby Sorrel,India,Raspberry Choco,,6826.32,44
Kelci Walkden,UK,Eclairs,,5029.35,61
Jan Morforth,India,Almond Choco,2023-11-03,5143.49,21
Dotty Strutley,UK,Almond Choco,,16707.88,102
Marney O'Breen,New Zealand,After Nines,2023-09-03,1558.87,46
Husein Augar,Australia,Orange Choco,,9332.76,196
Marney O'Breen,Australia,Milk Bars,,2673.47,375
Kelci Walkden,Canada,99% Dark & Pure,,4950.21,54
Kaine Padly,Australia,Manuka Honey Choco,2023-12-01,2919.11,271
Beverie Moffet,New Zealand,White Choc,,8003.23,7
Van Tuxwell,UK,Milk Bars,,4902.78,91
Oby Sorrel,Canada,99% Dark & Pure,2023-01-08,4033.53,430
Van Tuxwell,India,Organic Choco Syrup,,22751.18,182
Roddy Speechley,India,Smooth Sliky Salty,2023-10-08,5118.11,137
Jan Morforth,India,Eclairs,2023-05-01,2835.90,26
Ches Bonnell,UK,Smooth Sliky Salty,2023-11-07,5828.22,121
Wilone O'Kielt,USA,After Nines,,396.19,32
Gigi Bohling,New Zealand,Fruit & Nut Bars,2023-04-04,11226.50,118
Barr Faughny,USA,Raspberry Choco,2023-12-04,10102.86,107
Wilone O'Kielt,New Zealand,85% Dark Bars,2023-02-08,2084.86,119
Gigi Bohling,New Zealand,Manuka Honey Choco,,8495.79,268
Ches Bonnell,Australia,Eclairs,2023-05-07,4248.34,130
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2023-07-06,2236.11,46
Brien Boise,New Zealand,Smooth Sliky Salty,,1124.27,26
Brien Boise,Australia,Baker's Choco Chips,2023-04-01,12870.47,227
Dennison Crosswaite,Australia,99% Dark & Pure,,3017.66,19
Kelci Walkden,India,Almond Choco,,3574.12,149
Camilla Castle,Australia,70% Dark Bites,,6249.31,509
Oby Sorrel,India,Smooth Sliky Salty,2023-07-02,10759.61,107
Kaine Padly,UK,Organic Choco Syrup,,2508.03,175
Marney O'Breen,India,Caramel Stuffed Bars,,4997.82,83
Karlen McCaffrey,UK,Eclairs,,7901.09,200
Van Tuxwell,India,Baker's Choco Chips,,3133.42,479
Gigi Bohling,UK,After Nines,,8320.29,171
Curtice Advani,Australia,Orange Choco,2023-12-07,909.93,132
Jehu Rudeforth,Canada,Smooth Sliky Salty,2023-11-07,5631.26,142
Karlen McCaffrey,Canada,Smooth Sliky Salty,,3283.44,186
Andria Kimpton,USA,85% Dark Bars,2023-05-04,9458.03,87
Jehu Rudeforth,Canada,Milk Bars,,7726.25,12
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,,14369.40,15
Mallorie Waber,Australia,Milk Bars,,2829.57,106
Barr Faughny,USA,Fruit & Nut Bars,,9370.61,45
Marney O'Breen,UK,Caramel Stuffed Bars,,3651.49,112
Mallorie Waber,New Zealand,Manuka Honey Choco,,10229.99,12
Roddy Speechley,India,Peanut Butter Cubes,2023-11-02,11596.89,22
Roddy Speechley,New Zealand,Milk Bars,2023-02-03,5857.90,111
Ches Bonnell,Australia,White Choc,2023-02-03,1177.64,206
Van Tuxwell,USA,99% Dark & Pure,,12930.11,6
Kelci Walkden,India,After Nines,2023-07-01,1732.04,531
Brien Boise,UK,White Choc,2023-12-04,5837.17,173
Van Tuxwell,Canada,Almond Choco,,3424.66,70
Jehu Rudeforth,Australia,50% Dark Bites,,5700.28,422
Karlen McCaffrey,UK,Baker's Choco Chips,2023-07-02,5094.48,373
Jehu Rudeforth,Australia,Orange Choco,,14529.20,26
Marney O'Breen,India,Peanut Butter Cubes,2023-10-01,6761.28,145
Oby Sorrel,UK,Choco Coated Almonds,,10370.44,44
Gigi Bohling,USA,Spicy Special Slims,,12450.24,57
Barr Faughny,Australia,White Choc,2023-04-07,8927.63,386
Kaine Padly,Canada,Peanut Butter Cubes,2023-04-07,3438.70,191
Dotty Strutley,USA,Manuka Honey Choco,2023-10-08,299.71,207
Dennison Crosswaite,Australia,50% Dark Bites,2023-01-04,7374.26,12
Gigi Bohling,India,Raspberry Choco,,2775.87,174
Camilla Castle,UK,White Choc,2023-03-01,9957.66,194
Karlen McCaffrey,India,Drinking Coco,,5064.88,251
Dotty Strutley,UK,99% Dark & Pure,2023-03-01,9865.05,273
Husein Augar,New Zealand,Caramel Stuffed Bars,,571.52,489
Barr Faughny,UK,50% Dark Bites,,656.44,67
Curtice Advani,Australia,Organic Choco Syrup,,4008.93,301
Husein Augar,UK,Choco Coated Almonds,2023-02-03,4679.06,43
Wilone O'Kielt,Australia,After Nines,,3446.84,28
Dennison Crosswaite,USA,Almond Choco,,11884.52,82
Barr Faughny,Canada,Peanut Butter Cubes,2023-07-06,2167.19,85
Kaine Padly,USA,70% Dark Bites,2023-12-05,4199.84,107
Barr Faughny,New Zealand,Raspberry Choco,,7358.70,68
Dennison Crosswaite,UK,White Choc,2023-03-08,7870.09,274
Barr Faughny,India,Baker's Choco Chips,,7454.25,148
Van Tuxwell,New Zealand,Smooth Sliky Salty,,3112.30,41
Beverie Moffet,UK,White Choc,,6901.22,80
Camilla Castle,New Zealand,Mint Chip Choco,,1178.00,199
Ches Bonnell,UK,Orange Choco,,14953.83,53
Jan Morforth,Australia,White Choc,,3958.57,33
Mallorie Waber,Canada,85% Dark Bars,,1639.01,430
Rafaelita Blaksland,India,Spicy Special Slims,2023-04-01,8586.04,144
